ranking_id,country_id,region_id,indicator_id,year,value,unit,within_country_rank,within_country_count,ranking_type,interpretation_boundary
"poland_regional_population_2022_poland_kuyavian_pomeranian","poland","poland_kuyavian_pomeranian","regional_population","2022","1954778","人","10","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2022_poland_kuyavian_pomeranian","poland","poland_kuyavian_pomeranian","regional_gdp","2022","28826.18","百万欧元","8","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2022_poland_kuyavian_pomeranian","poland","poland_kuyavian_pomeranian","regional_gdp_per_capita","2022","14747","欧元","8","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2023_poland_kuyavian_pomeranian","poland","poland_kuyavian_pomeranian","regional_population","2023","1943197","人","10","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2023_poland_kuyavian_pomeranian","poland","poland_kuyavian_pomeranian","regional_gdp","2023","31579.61","百万欧元","8","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2023_poland_kuyavian_pomeranian","poland","poland_kuyavian_pomeranian","regional_gdp_per_capita","2023","16251","欧元","11","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2024_poland_kuyavian_pomeranian","poland","poland_kuyavian_pomeranian","regional_population","2024","1931648","人","10","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2024_poland_kuyavian_pomeranian","poland","poland_kuyavian_pomeranian","regional_gdp","2024","35718.88","百万欧元","8","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2024_poland_kuyavian_pomeranian","poland","poland_kuyavian_pomeranian","regional_gdp_per_capita","2024","18491","欧元","11","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2021_poland_lublin","poland","poland_lublin","regional_population","2021","1981180","人","8","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2021_poland_lublin","poland","poland_lublin","regional_gdp","2021","21823.01","百万欧元","10","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2021_poland_lublin","poland","poland_lublin","regional_gdp_per_capita","2021","11015","欧元","16","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2022_poland_lublin","poland","poland_lublin","regional_population","2022","1962076","人","9","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2022_poland_lublin","poland","poland_lublin","regional_gdp","2022","24392.43","百万欧元","10","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2022_poland_lublin","poland","poland_lublin","regional_gdp_per_capita","2022","12432","欧元","16","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2023_poland_lublin","poland","poland_lublin","regional_population","2023","1948400","人","9","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2023_poland_lublin","poland","poland_lublin","regional_gdp","2023","27218.75","百万欧元","10","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2023_poland_lublin","poland","poland_lublin","regional_gdp_per_capita","2023","13970","欧元","16","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2024_poland_lublin","poland","poland_lublin","regional_population","2024","1934465","人","9","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2024_poland_lublin","poland","poland_lublin","regional_gdp","2024","31360.76","百万欧元","10","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2024_poland_lublin","poland","poland_lublin","regional_gdp_per_capita","2024","16212","欧元","16","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2021_poland_lubusz","poland","poland_lubusz","regional_population","2021","965875","人","15","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2021_poland_lubusz","poland","poland_lubusz","regional_gdp","2021","12474.53","百万欧元","15","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2021_poland_lubusz","poland","poland_lubusz","regional_gdp_per_capita","2021","12915","欧元","10","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2022_poland_lubusz","poland","poland_lubusz","regional_population","2022","958281","人","15","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2022_poland_lubusz","poland","poland_lubusz","regional_gdp","2022","14101.88","百万欧元","15","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2022_poland_lubusz","poland","poland_lubusz","regional_gdp_per_capita","2022","14716","欧元","10","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2023_poland_lubusz","poland","poland_lubusz","regional_population","2023","952793","人","15","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2023_poland_lubusz","poland","poland_lubusz","regional_gdp","2023","15660.05","百万欧元","15","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2023_poland_lubusz","poland","poland_lubusz","regional_gdp_per_capita","2023","16436","欧元","9","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2024_poland_lubusz","poland","poland_lubusz","regional_population","2024","947784","人","15","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2024_poland_lubusz","poland","poland_lubusz","regional_gdp","2024","17659.93","百万欧元","15","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2024_poland_lubusz","poland","poland_lubusz","regional_gdp_per_capita","2024","18633","欧元","9","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2021_poland_lodz","poland","poland_lodz","regional_population","2021","2380949","人","6","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2021_poland_lodz","poland","poland_lodz","regional_gdp","2021","35596","百万欧元","6","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2021_poland_lodz","poland","poland_lodz","regional_gdp_per_capita","2021","14950","欧元","6","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2022_poland_lodz","poland","poland_lodz","regional_population","2022","2359467","人","6","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2022_poland_lodz","poland","poland_lodz","regional_gdp","2022","39866.65","百万欧元","7","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2022_poland_lodz","poland","poland_lodz","regional_gdp_per_capita","2022","16896","欧元","6","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2023_poland_lodz","poland","poland_lodz","regional_population","2023","2343021","人","6","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2023_poland_lodz","poland","poland_lodz","regional_gdp","2023","45427.53","百万欧元","6","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2023_poland_lodz","poland","poland_lodz","regional_gdp_per_capita","2023","19388","欧元","6","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2024_poland_lodz","poland","poland_lodz","regional_population","2024","2327239","人","6","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2024_poland_lodz","poland","poland_lodz","regional_gdp","2024","50901.66","百万欧元","7","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2024_poland_lodz","poland","poland_lodz","regional_gdp_per_capita","2024","21872","欧元","6","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2021_poland_lesser_poland","poland","poland_lesser_poland","regional_population","2021","3324543","人","4","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2021_poland_lesser_poland","poland","poland_lesser_poland","regional_gdp","2021","47766.76","百万欧元","5","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2021_poland_lesser_poland","poland","poland_lesser_poland","regional_gdp_per_capita","2021","14368","欧元","7","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2022_poland_lesser_poland","poland","poland_lesser_poland","regional_population","2022","3320962","人","4","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2022_poland_lesser_poland","poland","poland_lesser_poland","regional_gdp","2022","53019.35","百万欧元","5","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2022_poland_lesser_poland","poland","poland_lesser_poland","regional_gdp_per_capita","2022","15965","欧元","7","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2023_poland_lesser_poland","poland","poland_lesser_poland","regional_population","2023","3319305","人","4","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2023_poland_lesser_poland","poland","poland_lesser_poland","regional_gdp","2023","60680.9","百万欧元","5","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2023_poland_lesser_poland","poland","poland_lesser_poland","regional_gdp_per_capita","2023","18281","欧元","7","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2024_poland_lesser_poland","poland","poland_lesser_poland","regional_population","2024","3318985","人","4","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2024_poland_lesser_poland","poland","poland_lesser_poland","regional_gdp","2024","69014.66","百万欧元","5","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2024_poland_lesser_poland","poland","poland_lesser_poland","regional_gdp_per_capita","2024","20794","欧元","7","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2021_poland_masovian","poland","poland_masovian","regional_population","2021","5482361","人","1","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2021_poland_masovian","poland","poland_masovian","regional_gdp","2021","131518.96","百万欧元","1","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2021_poland_masovian","poland","poland_masovian","regional_gdp_per_capita","2021","23989","欧元","1","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2022_poland_masovian","poland","poland_masovian","regional_population","2022","5479484","人","1","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2022_poland_masovian","poland","poland_masovian","regional_gdp","2022","153126.13","百万欧元","1","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2022_poland_masovian","poland","poland_masovian","regional_gdp_per_capita","2022","27945","欧元","1","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2023_poland_masovian","poland","poland_masovian","regional_population","2023","5479763","人","1","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2023_poland_masovian","poland","poland_masovian","regional_gdp","2023","178592.91999999998","百万欧元","1","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2023_poland_masovian","poland","poland_masovian","regional_gdp_per_capita","2023","32591","欧元","1","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2024_poland_masovian","poland","poland_masovian","regional_population","2024","5480040","人","1","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2024_poland_masovian","poland","poland_masovian","regional_gdp","2024","202640.69","百万欧元","1","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2024_poland_masovian","poland","poland_masovian","regional_gdp_per_capita","2024","36978","欧元","1","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2021_poland_opole","poland","poland_opole","regional_population","2021","910302","人","16","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2021_poland_opole","poland","poland_opole","regional_gdp","2021","11946.65","百万欧元","16","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2021_poland_opole","poland","poland_opole","regional_gdp_per_capita","2021","13124","欧元","9","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2022_poland_opole","poland","poland_opole","regional_population","2022","902444","人","16","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2022_poland_opole","poland","poland_opole","regional_gdp","2022","13104.37","百万欧元","16","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2022_poland_opole","poland","poland_opole","regional_gdp_per_capita","2022","14521","欧元","11","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2023_poland_opole","poland","poland_opole","regional_population","2023","896370","人","16","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2023_poland_opole","poland","poland_opole","regional_gdp","2023","14686.61","百万欧元","16","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2023_poland_opole","poland","poland_opole","regional_gdp_per_capita","2023","16385","欧元","10","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2024_poland_opole","poland","poland_opole","regional_population","2024","890392","人","16","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2024_poland_opole","poland","poland_opole","regional_gdp","2024","16562.11","百万欧元","16","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2024_poland_opole","poland","poland_opole","regional_gdp_per_capita","2024","18601","欧元","10","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2021_poland_subcarpathian","poland","poland_subcarpathian","regional_population","2021","1979297","人","9","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2021_poland_subcarpathian","poland","poland_subcarpathian","regional_gdp","2021","22482.79","百万欧元","9","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2021_poland_subcarpathian","poland","poland_subcarpathian","regional_gdp_per_capita","2021","11359","欧元","14","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2022_poland_subcarpathian","poland","poland_subcarpathian","regional_population","2022","1968616","人","8","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2022_poland_subcarpathian","poland","poland_subcarpathian","regional_gdp","2022","24733.07","百万欧元","9","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2022_poland_subcarpathian","poland","poland_subcarpathian","regional_gdp_per_capita","2022","12564","欧元","15","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2023_poland_subcarpathian","poland","poland_subcarpathian","regional_population","2023","1962332","人","8","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2023_poland_subcarpathian","poland","poland_subcarpathian","regional_gdp","2023","28452.18","百万欧元","9","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2023_poland_subcarpathian","poland","poland_subcarpathian","regional_gdp_per_capita","2023","14499","欧元","14","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2024_poland_subcarpathian","poland","poland_subcarpathian","regional_population","2024","1955368","人","8","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2024_poland_subcarpathian","poland","poland_subcarpathian","regional_gdp","2024","32683.16","百万欧元","9","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2024_poland_subcarpathian","poland","poland_subcarpathian","regional_gdp_per_capita","2024","16715","欧元","14","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2021_poland_podlaskie","poland","poland_podlaskie","regional_population","2021","1097521","人","14","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2021_poland_podlaskie","poland","poland_podlaskie","regional_gdp","2021","13130.04","百万欧元","14","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2021_poland_podlaskie","poland","poland_podlaskie","regional_gdp_per_capita","2021","11963","欧元","12","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2022_poland_podlaskie","poland","poland_podlaskie","regional_population","2022","1089385","人","14","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2022_poland_podlaskie","poland","poland_podlaskie","regional_gdp","2022","14969.97","百万欧元","13","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2022_poland_podlaskie","poland","poland_podlaskie","regional_gdp_per_capita","2022","13742","欧元","12","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2023_poland_podlaskie","poland","poland_podlaskie","regional_population","2023","1083854","人","14","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2023_poland_podlaskie","poland","poland_podlaskie","regional_gdp","2023","16895.19","百万欧元","14","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2023_poland_podlaskie","poland","poland_podlaskie","regional_gdp_per_capita","2023","15588","欧元","12","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2024_poland_podlaskie","poland","poland_podlaskie","regional_population","2024","1078971","人","14","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2024_poland_podlaskie","poland","poland_podlaskie","regional_gdp","2024","19130.66","百万欧元","14","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2024_poland_podlaskie","poland","poland_podlaskie","regional_gdp_per_capita","2024","17730","欧元","12","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2021_poland_pomeranian","poland","poland_pomeranian","regional_population","2021","2295666","人","7","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2021_poland_pomeranian","poland","poland_pomeranian","regional_gdp","2021","34727.43","百万欧元","7","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2021_poland_pomeranian","poland","poland_pomeranian","regional_gdp_per_capita","2021","15127","欧元","5","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2022_poland_pomeranian","poland","poland_pomeranian","regional_population","2022","2295510","人","7","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2022_poland_pomeranian","poland","poland_pomeranian","regional_gdp","2022","40857.46","百万欧元","6","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2022_poland_pomeranian","poland","poland_pomeranian","regional_gdp_per_capita","2022","17799","欧元","5","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2023_poland_pomeranian","poland","poland_pomeranian","regional_population","2023","2295745","人","7","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2023_poland_pomeranian","poland","poland_pomeranian","regional_gdp","2023","45075.68","百万欧元","7","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2023_poland_pomeranian","poland","poland_pomeranian","regional_gdp_per_capita","2023","19634","欧元","5","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2024_poland_pomeranian","poland","poland_pomeranian","regional_population","2024","2296972","人","7","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2024_poland_pomeranian","poland","poland_pomeranian","regional_gdp","2024","50992.54","百万欧元","6","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2024_poland_pomeranian","poland","poland_pomeranian","regional_gdp_per_capita","2024","22200","欧元","5","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2021_poland_silesian","poland","poland_silesian","regional_population","2021","4310201","人","2","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2021_poland_silesian","poland","poland_silesian","regional_gdp","2021","69380.23","百万欧元","2","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2021_poland_silesian","poland","poland_silesian","regional_gdp_per_capita","2021","16097","欧元","4","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_population_2022_poland_silesian","poland","poland_silesian","regional_population","2022","4273835","人","2","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_2022_poland_silesian","poland","poland_silesian","regional_gdp","2022","79873.25","百万欧元","2","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
"poland_regional_gdp_per_capita_2022_poland_silesian","poland","poland_silesian","regional_gdp_per_capita","2022","18689","欧元","4","16","factual_indicator_ranking","仅表示同国同年同指标的事实位置，不代表风险或政策优劣。"
