country_id,region_id,region_name_zh,verified_project_count,high_confidence_count,medium_confidence_count,interpretation_boundary
"hungary","hungary_gyor_moson_sopron","杰尔-莫松-肖普朗州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_hajdu_bihar","豪伊杜-比豪尔州","1","0","1","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"hungary","hungary_heves","赫维什州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_jasz_nagykun_szolnok","亚斯-瑙吉孔-索尔诺克州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_komarom_esztergom","科马罗姆-埃斯泰尔戈姆州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_nograd","诺格拉德州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_pest","佩斯州","1","0","0","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"hungary","hungary_somogy","绍莫吉州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_szabolcs_szatmar_bereg","索博尔奇-索特马尔-贝拉格州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_tolna","托尔瑙州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_vas","沃什州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_veszprem","维斯普雷姆州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"hungary","hungary_zala","佐洛州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"czechia","czechia_prague","布拉格","2","0","1","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"czechia","czechia_central_bohemian","中波希米亚州","1","0","1","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"czechia","czechia_south_bohemian","南波希米亚州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"czechia","czechia_plzen","比尔森州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"czechia","czechia_karlovy_vary","卡罗维发利州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"czechia","czechia_usti","乌斯季州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"czechia","czechia_liberec","利贝雷茨州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"czechia","czechia_hradec_kralove","赫拉德茨-克拉洛韦州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"czechia","czechia_pardubice","帕尔杜比采州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"czechia","czechia_vysocina","维索基纳州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"czechia","czechia_south_moravian","南摩拉维亚州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"czechia","czechia_olomouc","奥洛穆茨州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"czechia","czechia_zlin","兹林州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"czechia","czechia_moravian_silesian","摩拉维亚-西里西亚州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"slovakia","slovakia_bratislava","布拉迪斯拉发州","1","0","0","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"slovakia","slovakia_trnava","特尔纳瓦州","1","0","0","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"slovakia","slovakia_trencin","特伦钦州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"slovakia","slovakia_nitra","尼特拉州","2","0","1","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"slovakia","slovakia_zilina","日利纳州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"slovakia","slovakia_banska_bystrica","班斯卡-比斯特里察州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"slovakia","slovakia_presov","普雷绍夫州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"slovakia","slovakia_kosice","科希策州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_baden_wurttemberg","巴登-符腾堡州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_bavaria","巴伐利亚州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_berlin","柏林","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_brandenburg","勃兰登堡州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_bremen","不来梅","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_hamburg","汉堡","1","0","1","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"germany","germany_hesse","黑森州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_lower_saxony_de","下萨克森州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_mecklenburg_vorpommern","梅克伦堡-前波美拉尼亚州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_north_rhine_westphalia","北莱茵-威斯特法伦州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_rhineland_palatinate","莱茵兰-普法尔茨州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_saarland","萨尔州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_saxony","萨克森州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_saxony_anhalt","萨克森-安哈尔特州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_schleswig_holstein","石勒苏益格-荷尔斯泰因州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"germany","germany_thuringia","图林根州","1","0","0","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"romania","romania_alba","阿尔巴县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_arad","阿拉德县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_arges","阿尔杰什县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_bacau","巴克乌县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_bihor","比霍尔县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_bistrita_nasaud","比斯特里察-讷瑟乌德县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_botosani","博托沙尼县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_brasov","布拉索夫县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_braila","布勒伊拉县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_bucharest","布加勒斯特","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_buzau","布泽乌县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_caras_severin","卡拉什-塞维林县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_calarasi","克勒拉希县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_cluj","克卢日县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_constanta","康斯坦察县","1","0","1","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"romania","romania_covasna","科瓦斯纳县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_dambovita","登博维察县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_dolj","多尔日县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_galati","加拉茨县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_giurgiu","久尔久县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_gorj","戈尔日县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_harghita","哈尔吉塔县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_hunedoara","胡内多阿拉县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_ialomita","雅洛米察县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_iasi","雅西县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_ilfov","伊尔福夫县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_maramures","马拉穆列什县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_mehedinti","梅赫丁茨县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_mures","穆列什县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_neamt","尼亚姆茨县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_olt","奥尔特县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_prahova","普拉霍瓦县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_satu_mare","萨图马雷县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_salaj","瑟拉日县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_sibiu","锡比乌县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_suceava","苏恰瓦县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_teleorman","特列奥尔曼县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_timis","蒂米什县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_tulcea","图尔恰县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_vaslui","瓦斯卢伊县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_valcea","沃尔恰县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"romania","romania_vrancea","弗朗恰县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"slovenia","slovenia_eastern_slovenia","东斯洛文尼亚凝聚区","1","0","1","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"slovenia","slovenia_western_slovenia","西斯洛文尼亚凝聚区","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_belgrade","贝尔格莱德市","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_bor","博尔州","1","0","1","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"serbia","serbia_branicevo","布拉尼切沃州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_jablanica","雅布拉尼察州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_kolubara","科卢巴拉州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_macva","马奇瓦州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_moravica","莫拉维察州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_nisava","尼沙瓦州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_pcinja","普奇尼亚州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_pirot","皮罗特州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_podunavlje","波杜那瓦列州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_pomoravlje","波莫拉夫列州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_rasina","拉西纳州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_raska","拉什卡州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_sumadija","舒马迪亚州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_toplica","托普利察州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_zajecar","扎耶查尔州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_zlatibor","兹拉蒂博尔州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_north_backa","北巴奇卡州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_central_banat","中巴纳特州","1","0","1","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"serbia","serbia_north_banat","北巴纳特州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_south_banat","南巴纳特州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_west_backa","西巴奇卡州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_south_backa","南巴奇卡州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"serbia","serbia_srem","斯雷姆州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"austria","austria_burgenland","布尔根兰州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"austria","austria_carinthia","克恩顿州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"austria","austria_lower_austria","下奥地利州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"austria","austria_upper_austria","上奥地利州","1","0","0","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"austria","austria_salzburg","萨尔茨堡州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"austria","austria_styria","施泰尔马克州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"austria","austria_tyrol","蒂罗尔州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"austria","austria_vorarlberg","福拉尔贝格州","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"austria","austria_vienna","维也纳","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_zagreb_county","萨格勒布县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_krapina_zagorje","克拉皮纳-扎戈列县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_sisak_moslavina","锡萨克-莫斯拉维纳县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_karlovac","卡尔洛瓦茨县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_varazdin","瓦拉日丁县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_koprivnica_krizevci","科普里夫尼察-克里热夫齐县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_bjelovar_bilogora","别洛瓦尔-比洛戈拉县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_primorje_gorski_kotar","滨海和山区县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_lika_senj","利卡-塞尼县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_virovitica_podravina","维罗维蒂察-波德拉维纳县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_pozega_slavonia","波热加-斯拉沃尼亚县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_brod_posavina","布罗德-波萨维纳县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_zadar","扎达尔县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_osijek_baranja","奥西耶克-巴拉尼亚县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_sibenik_knin","希贝尼克-克宁县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_vukovar_srijem","武科瓦尔-斯里耶姆县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_split_dalmatia","斯普利特-达尔马提亚县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_istria","伊斯特拉县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_dubrovnik_neretva","杜布罗夫尼克-内雷特瓦县","1","0","0","仅统计当前数据库中已核验并完成区域映射的项目记录。"
"croatia","croatia_medimurje","梅吉穆列县","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
"croatia","croatia_zagreb_city","萨格勒布市","0","0","0","当前数据库无已核验项目记录；不代表该区域不存在相关活动。"
