country_id,layer_id,layer_type,data_ready,boundary_ready,project_trace_ready,quality_passed,latest_year,source_reliability,is_ready_for_display,unavailable_reason
"serbia","regional_manufacturing_share","choropleth","false","false","true","true","unavailable","B / licence pending","false","边界公开展示闸门尚未通过。"
"serbia","china_project_locations","project_reference","true","false","true","true","unavailable","A/B record-level source","false","边界公开展示闸门尚未通过。"
"austria","regional_boundary","boundary","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"austria","regional_population","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"austria","regional_gdp","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"austria","regional_gdp_per_capita","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"austria","regional_unemployment_rate","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"austria","regional_manufacturing_share","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"austria","china_project_locations","project_reference","true","false","true","true","2024","A/B record-level source","false","边界公开展示闸门尚未通过。"
"croatia","regional_boundary","boundary","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"croatia","regional_population","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"croatia","regional_gdp","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"croatia","regional_gdp_per_capita","choropleth","true","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"croatia","regional_unemployment_rate","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"croatia","regional_manufacturing_share","choropleth","false","false","true","true","2024","A","false","边界公开展示闸门尚未通过。"
"croatia","china_project_locations","project_reference","true","false","true","true","2024","A/B record-level source","false","边界公开展示闸门尚未通过。"
