country,country_slug,dimension,year,source,source_url,source_reliability,related_observation_ids,related_project_ids,variable_id,raw_value,unit,calculation_method,data_completeness,model_eligible,limitation_note,calculation_trace,normalized_score,weight
"波兰","poland","industrial","2024","Eurostat nrg_pc_205","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&freq=S&currency=EUR&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&geo=PL&sinceTimePeriod=2024-S1&untilTimePeriod=2024-S1","A","[""transmission:poland:industrial_electricity_price:2024""]","[]","industrial_electricity_price","0.2573","欧元/kWh","(semester_1 + semester_2) / 2","100","true","一般产业结构变量不单独证明对华暴露，必须与可核验涉华产业项目共同解释。","{""numerator"":0.2563,""denominator"":0.2583,""numerator_source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&freq=S&currency=EUR&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&geo=PL&sinceTimePeriod=2024-S1&untilTimePeriod=2024-S1"",""denominator_source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&freq=S&currency=EUR&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&geo=PL&sinceTimePeriod=2024-S2&untilTimePeriod=2024-S2"",""formula"":""(semester_1 + semester_2) / 2""}","52.4","0.1"
"波兰","poland","industrial","2024","Transparent Models / Industrial Dependency",,"A","[""v4:poland:manufacturing_share_gdp:2024"",""v4:poland:automotive_export_share:2024"",""transmission:poland:germany_export_dependence:2024"",""transmission:poland:industrial_electricity_price:2024""]","[]","industrial_dependency_score","41.5","0-100 comparative score","reuse published v0.70 transparent output without changing its formula","100","true","该输入描述一般产业结构，只在存在可核验涉华产业项目时用于对华产业维度。",,"41.5","0.15"
"波兰","poland","industrial",,"待接入",,"D","[]","[]","china_linked_industrial_project_presence",,"binary verified presence","1 only when an A/B-source industrial project exists; missing coverage remains null","0","false","存在变量不表示投资规模、产能或供应链控制程度。",,,"0.15"
"匈牙利","hungary","project",,"China Project Database","https://bbrailway.hu/","A","[]","[""hu-budapest-belgrade-rail""]","eligible_project_count","1","projects","count verified, quantifiable A/B-source projects","50","false","只接纳已核验、可量化且为 A/B 级来源的项目；项目库不是企业总体普查，少于两项时不形成可比项目分数。",,"25","0.45"
"匈牙利","hungary","project",,"China Project Database","https://bbrailway.hu/","A","[]","[""hu-budapest-belgrade-rail""]","active_project_share",,"% eligible projects","active eligible projects / eligible projects * 100","0","false","项目状态来自核验记录，不能替代官方投资存量。",,,"0.3"
"匈牙利","hungary","project",,"China Project Database","https://bbrailway.hu/","A","[]","[""hu-budapest-belgrade-rail""]","project_sector_concentration",,"% eligible projects","largest eligible project sector count / eligible projects * 100","0","false","小样本集中度容易受单个项目影响，只作为项目维度内部描述。",,,"0.25"
"匈牙利","hungary","trade","2024","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","[]","[]","china_export_share","1.251","% goods trade","exports_to_China / exports_to_world * 100","100","true","只覆盖货物贸易，不覆盖服务贸易；2024 年横截面不说明长期依赖趋势。","{""numerator"":1933892411.176,""denominator"":154545713825.039,""numerator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""denominator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=0&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""formula"":""exports_to_China / exports_to_world * 100""}","12.5","0.35"
"匈牙利","hungary","trade","2024","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=M&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","[]","[]","china_import_share","6.784","% goods trade","imports_from_China / imports_from_world * 100","100","true","只覆盖货物贸易，不覆盖服务贸易；2024 年横截面不说明长期依赖趋势。","{""numerator"":9747209470.688,""denominator"":143669146379.315,""numerator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=M&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""denominator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=M&partnerCode=0&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""formula"":""imports_from_China / imports_from_world * 100""}","33.9","0.35"
"匈牙利","hungary","trade","2024","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","[]","[]","china_trade_share","3.917","% goods trade","(exports_to_China + imports_from_China) / (exports_to_world + imports_from_world) * 100","100","true","只覆盖货物贸易，不覆盖服务贸易；2024 年横截面不说明长期依赖趋势。","{""numerator"":11681101881.864,""denominator"":298214860204.354,""numerator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""denominator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=0&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""formula"":""(exports_to_China + imports_from_China) / (exports_to_world + imports_from_world) * 100""}","26.1","0.3"
"匈牙利","hungary","investment",,"待接入统一 China-origin FDI source",,"D","[]","[""hu-budapest-belgrade-rail""]","china_origin_fdi_stock_or_flow",,"million EUR","not calculated","0","false","普通 FDI 流量不等于中国来源 FDI；1 项项目金额记录因币种、状态与概念不同，仅保留在项目库，不合并。",,,"1"
"匈牙利","hungary","industrial","2025","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_a10?lang=en&freq=A&unit=PC_GDP&na_item=B1G&nace_r2=C&geo=HU&sinceTimePeriod=2025&untilTimePeriod=2025","A","[""v4:hungary:manufacturing_share_gdp:2025""]","[]","manufacturing_share_gdp","15.1","%","无","100","true","一般产业结构变量不单独证明对华暴露，必须与可核验涉华产业项目共同解释。",,"34","0.2"
"匈牙利","hungary","industrial","2024","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?lang=en&freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=C29&geo=HU&sinceTimePeriod=2024&untilTimePeriod=2024","A","[""v4:hungary:automotive_export_share:2024""]","[]","automotive_export_share","21.91","%","NACE_C29_exports / total_NACE_exports * 100","100","true","一般产业结构变量不单独证明对华暴露，必须与可核验涉华产业项目共同解释。","{""numerator"":21835239.7,""denominator"":99658641.76,""numerator_source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?lang=en&freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=C29&geo=HU&sinceTimePeriod=2024&untilTimePeriod=2024"",""denominator_source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?lang=en&freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=TOTAL&geo=HU&sinceTimePeriod=2024&untilTimePeriod=2024"",""formula"":""NACE_C29_exports / total_NACE_exports * 100""}","42.3","0.25"
"匈牙利","hungary","industrial","2024","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=276&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","[""transmission:hungary:germany_export_dependence:2024""]","[]","germany_export_dependence","24.6","% exports","exports_to_Germany / exports_to_world * 100","100","true","一般产业结构变量不单独证明对华暴露，必须与可核验涉华产业项目共同解释。","{""numerator"":38018790013.193,""denominator"":154545713825.039,""numerator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=276&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""denominator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=348&cmdCode=TOTAL&flowCode=X&partnerCode=0&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""formula"":""exports_to_Germany / exports_to_world * 100""}","48.7","0.15"
"匈牙利","hungary","industrial","2024","Eurostat nrg_pc_205","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&freq=S&currency=EUR&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&geo=HU&sinceTimePeriod=2024-S1&untilTimePeriod=2024-S1","A","[""transmission:hungary:industrial_electricity_price:2024""]","[]","industrial_electricity_price","0.28495","欧元/kWh","(semester_1 + semester_2) / 2","100","true","一般产业结构变量不单独证明对华暴露，必须与可核验涉华产业项目共同解释。","{""numerator"":0.2838,""denominator"":0.2861,""numerator_source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&freq=S&currency=EUR&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&geo=HU&sinceTimePeriod=2024-S1&untilTimePeriod=2024-S1"",""denominator_source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&freq=S&currency=EUR&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&geo=HU&sinceTimePeriod=2024-S2&untilTimePeriod=2024-S2"",""formula"":""(semester_1 + semester_2) / 2""}","61.6","0.1"
"匈牙利","hungary","industrial","2024","Transparent Models / Industrial Dependency",,"A","[""v4:hungary:manufacturing_share_gdp:2024"",""v4:hungary:automotive_export_share:2024"",""transmission:hungary:germany_export_dependence:2024"",""transmission:hungary:industrial_electricity_price:2024""]","[]","industrial_dependency_score","46.3","0-100 comparative score","reuse published v0.70 transparent output without changing its formula","100","true","该输入描述一般产业结构，只在存在可核验涉华产业项目时用于对华产业维度。",,"46.3","0.15"
"匈牙利","hungary","industrial",,"待接入",,"D","[]","[]","china_linked_industrial_project_presence",,"binary verified presence","1 only when an A/B-source industrial project exists; missing coverage remains null","0","false","存在变量不表示投资规模、产能或供应链控制程度。",,,"0.15"
"捷克","czechia","project",,"待接入",,"D","[]","[]","eligible_project_count","0","projects","count verified, quantifiable A/B-source projects","0","false","只接纳已核验、可量化且为 A/B 级来源的项目；项目库不是企业总体普查，少于两项时不形成可比项目分数。",,"0","0.45"
"捷克","czechia","project",,"待接入",,"D","[]","[]","active_project_share",,"% eligible projects","active eligible projects / eligible projects * 100","0","false","项目状态来自核验记录，不能替代官方投资存量。",,,"0.3"
"捷克","czechia","project",,"待接入",,"D","[]","[]","project_sector_concentration",,"% eligible projects","largest eligible project sector count / eligible projects * 100","0","false","小样本集中度容易受单个项目影响，只作为项目维度内部描述。",,,"0.25"
"捷克","czechia","trade","2024","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","[]","[]","china_export_share","1.266","% goods trade","exports_to_China / exports_to_world * 100","100","true","只覆盖货物贸易，不覆盖服务贸易；2024 年横截面不说明长期依赖趋势。","{""numerator"":3283463797,""denominator"":259292432445,""numerator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""denominator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=0&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""formula"":""exports_to_China / exports_to_world * 100""}","12.7","0.35"
"捷克","czechia","trade","2024","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=M&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","[]","[]","china_import_share","17.093","% goods trade","imports_from_China / imports_from_world * 100","100","true","只覆盖货物贸易，不覆盖服务贸易；2024 年横截面不说明长期依赖趋势。","{""numerator"":39210201223,""denominator"":229396961967,""numerator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=M&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""denominator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=M&partnerCode=0&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""formula"":""imports_from_China / imports_from_world * 100""}","85.5","0.35"
"捷克","czechia","trade","2024","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","[]","[]","china_trade_share","8.695","% goods trade","(exports_to_China + imports_from_China) / (exports_to_world + imports_from_world) * 100","100","true","只覆盖货物贸易，不覆盖服务贸易；2024 年横截面不说明长期依赖趋势。","{""numerator"":42493665020,""denominator"":488689394412,""numerator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""denominator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=0&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""formula"":""(exports_to_China + imports_from_China) / (exports_to_world + imports_from_world) * 100""}","58","0.3"
"捷克","czechia","investment",,"待接入统一 China-origin FDI source",,"D","[]","[]","china_origin_fdi_stock_or_flow",,"million EUR","not calculated","0","false","普通 FDI 流量不等于中国来源 FDI；0 项项目金额记录因币种、状态与概念不同，仅保留在项目库，不合并。",,,"1"
"捷克","czechia","industrial","2025","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nama_10_a10?lang=en&freq=A&unit=PC_GDP&na_item=B1G&nace_r2=C&geo=CZ&sinceTimePeriod=2025&untilTimePeriod=2025","A","[""v4:czechia:manufacturing_share_gdp:2025""]","[]","manufacturing_share_gdp","19","%","无","100","true","一般产业结构变量不单独证明对华暴露，必须与可核验涉华产业项目共同解释。",,"60","0.2"
"捷克","czechia","industrial","2024","Eurostat","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?lang=en&freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=C29&geo=CZ&sinceTimePeriod=2024&untilTimePeriod=2024","A","[""v4:czechia:automotive_export_share:2024""]","[]","automotive_export_share","32.356","%","NACE_C29_exports / total_NACE_exports * 100","100","true","一般产业结构变量不单独证明对华暴露，必须与可核验涉华产业项目共同解释。","{""numerator"":48864912.81,""denominator"":151024744.5,""numerator_source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?lang=en&freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=C29&geo=CZ&sinceTimePeriod=2024&untilTimePeriod=2024"",""denominator_source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_tec09?lang=en&freq=A&unit=THS_EUR&stk_flow=EXP&partner=WORLD&nace_r2=TOTAL&geo=CZ&sinceTimePeriod=2024&untilTimePeriod=2024"",""formula"":""NACE_C29_exports / total_NACE_exports * 100""}","68.4","0.25"
"捷克","czechia","industrial","2024","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=276&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","[""transmission:czechia:germany_export_dependence:2024""]","[]","germany_export_dependence","32.211","% exports","exports_to_Germany / exports_to_world * 100","100","true","一般产业结构变量不单独证明对华暴露，必须与可核验涉华产业项目共同解释。","{""numerator"":83519431269,""denominator"":259292432445,""numerator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=276&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""denominator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=203&cmdCode=TOTAL&flowCode=X&partnerCode=0&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""formula"":""exports_to_Germany / exports_to_world * 100""}","74","0.15"
"捷克","czechia","industrial","2024","Eurostat nrg_pc_205","https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&freq=S&currency=EUR&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&geo=CZ&sinceTimePeriod=2024-S1&untilTimePeriod=2024-S1","A","[""transmission:czechia:industrial_electricity_price:2024""]","[]","industrial_electricity_price","0.2293","欧元/kWh","(semester_1 + semester_2) / 2","100","true","一般产业结构变量不单独证明对华暴露，必须与可核验涉华产业项目共同解释。","{""numerator"":0.2239,""denominator"":0.2347,""numerator_source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&freq=S&currency=EUR&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&geo=CZ&sinceTimePeriod=2024-S1&untilTimePeriod=2024-S1"",""denominator_source_url"":""https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_205?lang=en&freq=S&currency=EUR&nrg_cons=MWH500-1999&unit=KWH&tax=I_TAX&geo=CZ&sinceTimePeriod=2024-S2&untilTimePeriod=2024-S2"",""formula"":""(semester_1 + semester_2) / 2""}","43.1","0.1"
"捷克","czechia","industrial","2024","Transparent Models / Industrial Dependency",,"A","[""v4:czechia:manufacturing_share_gdp:2024"",""v4:czechia:automotive_export_share:2024"",""transmission:czechia:germany_export_dependence:2024"",""transmission:czechia:industrial_electricity_price:2024""]","[]","industrial_dependency_score","66.2","0-100 comparative score","reuse published v0.70 transparent output without changing its formula","100","true","该输入描述一般产业结构，只在存在可核验涉华产业项目时用于对华产业维度。",,"66.2","0.15"
"捷克","czechia","industrial",,"待接入",,"D","[]","[]","china_linked_industrial_project_presence",,"binary verified presence","1 only when an A/B-source industrial project exists; missing coverage remains null","0","false","存在变量不表示投资规模、产能或供应链控制程度。",,,"0.15"
"斯洛伐克","slovakia","project",,"待接入",,"D","[]","[]","eligible_project_count","0","projects","count verified, quantifiable A/B-source projects","0","false","只接纳已核验、可量化且为 A/B 级来源的项目；项目库不是企业总体普查，少于两项时不形成可比项目分数。",,"0","0.45"
"斯洛伐克","slovakia","project",,"待接入",,"D","[]","[]","active_project_share",,"% eligible projects","active eligible projects / eligible projects * 100","0","false","项目状态来自核验记录，不能替代官方投资存量。",,,"0.3"
"斯洛伐克","slovakia","project",,"待接入",,"D","[]","[]","project_sector_concentration",,"% eligible projects","largest eligible project sector count / eligible projects * 100","0","false","小样本集中度容易受单个项目影响，只作为项目维度内部描述。",,,"0.25"
"斯洛伐克","slovakia","trade","2024","UN Comtrade","https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=703&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500","A","[]","[]","china_export_share","2.395","% goods trade","exports_to_China / exports_to_world * 100","100","true","只覆盖货物贸易，不覆盖服务贸易；2024 年横截面不说明长期依赖趋势。","{""numerator"":2768213204.784,""denominator"":115575455095.801,""numerator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=703&cmdCode=TOTAL&flowCode=X&partnerCode=156&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""denominator_source_url"":""https://comtradeapi.un.org/public/v1/preview/C/A/HS?period=2024&reporterCode=703&cmdCode=TOTAL&flowCode=X&partnerCode=0&partner2Code=0&customsCode=C00&motCode=0&maxRecords=500"",""formula"":""exports_to_China / exports_to_world * 100""}","23.9","0.35"
